id,prediction
0,0.0
1,1.7431823600499428
2,0.0
3,0.0
4,0.0
5,7.949849133942443
6,7.594421700387246
7,0.0
8,0.0
9,11.474148936354863
10,0.0
11,38.221969647533854
12,67.3778297750444
13,25.709156482242758
14,322.47835818611384
15,902.9241963403543
16,91.49335711060596
17,166.03394191803284
18,355.2004659000684
19,208.20728415342614
20,1555.291843456062
21,2508.1571767908363
22,406.5054815175368
23,321.924313353791
24,439.49880878643944
25,559.0390993397743
26,2963.8036072384093
27,2870.031803185327
28,606.4567717576466
29,483.2077532410679
30,516.5837340768923
31,686.2211641376042
32,3085.9572905974856
33,662.3807970258581
34,3322.988887174448
35,550.021093205287
36,2959.0462772963324
37,667.507742136029
38,589.898126761733
39,2173.863682501036
40,410.6944748928217
41,423.7705562141842
42,391.4899848485105
43,2346.646042430346
44,403.8727513112994
45,286.88025359022015
46,1414.5640015399824
47,247.6657516568882
48,258.14930732368526
49,217.9568416219121
50,1310.8251908473742
51,106.97860581300412
52,611.1117035689535
53,119.30486952419278
54,83.67041014649374
55,278.68572493279623
56,61.461066082288866
57,33.90818803631801
58,11.653812093472808
59,16.288513651831526
60,0.0
61,0.0
62,13.770786989344142
63,9.670224138922858
64,0.0
65,0.0
66,0.0
67,0.0
68,7.349746418691703
69,6.426383422182552
70,0.0
71,0.0
72,1.1348679650916822
73,3.7599469888304053
74,10.34482668336046
75,6.394560503925728
76,0.0
77,0.0
78,1.8884608984528757
79,13.276293267726992
80,0.0
81,0.9589522179553003
82,27.02920949980268
83,94.17562206771407
84,112.91493089593288
85,528.4634133579069
86,29.540044149410047
87,1432.9577347421978
88,281.52752405899315
89,117.51733646702833
90,2085.4928333258154
91,251.03886599859226
92,454.32864660131696
93,2662.3516975107236
94,597.4955157533732
95,393.3099627884597
96,3868.9483339067997
97,905.9187850883593
98,711.5968663408453
99,775.9559438507886
100,931.5286588265227
101,4338.7391260691575
102,4156.004254135579
103,761.548871912482
104,646.418283439908
105,910.2506173799349
106,3806.493916559477
107,983.2136232346891
108,960.4409759298154
109,4022.115333464306
110,1044.941440354241
111,871.5418346125588
112,3506.5648991296657
113,1017.9445052203124
114,564.8860270136499
115,522.5811117936397
116,2847.510194939327
117,2579.6211255458593
118,450.21537934159227
119,459.54293716132844
120,307.70999813297567
121,340.83110918075175
122,1690.4428630160305
123,744.0226417779795
124,159.4120167371549
125,132.85026722172063
126,79.76650088488351
127,28.575559035809952
128,369.5603463528598
129,30.188713497351436
130,33.981237796047886
131,118.46232561234174
132,11.309773751049308
133,6.825472755873332
134,9.981782794107055
135,13.903249029105273
136,7.052683725357779
137,12.282318611121804
138,8.56775459220821
139,1.1351466119013272
140,2.068732150924178
141,0.0
142,7.82878637187454
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,228.6517457364581
154,46.614545017073645
155,15.124824776891321
156,37.81807215241217
157,659.0107969391462
158,117.13065482424312
159,317.25724026490656
160,1385.938169217115
161,183.88183035580516
162,327.0319362953985
163,2595.2258748717345
164,491.34766779873763
165,893.6307693501195
166,3570.226305237032
167,700.4474644767937
168,4292.521957203722
169,898.9959762366032
170,1064.2855976434994
171,958.0656167744501
172,4702.044870241651
173,1188.1990284497338
174,1017.1036506083277
175,4732.874889422029
176,1154.3185454393165
177,1097.4635553163073
178,902.6555416293631
179,4557.293705659854
180,1072.5673813922824
181,896.2852529238643
182,3973.713960988222
183,836.376287867673
184,3636.128123667001
